id_application,id_posting,id_resume_outcome,callback,heightrequired,jobgenderoptions,,photo_gender,photo_num,photo,avg_rating,share_num6p,share_num5p,share_num4p,attract_top25,attract_top50,attract_top75,attract_top90,attract_top10,attract_above4_p50,attract_above4_p75,_weight,_height_ft,_height_in,,MenAttBins,MCBs,Photos,Rating,,WomenAttBins,WCBs,Photos,Rating,,,solonum,solorat,sologen,,,,,,,,
588,147,4,0,0,Both Male & Female,,Male,8,40,3.7346938,0.040816326,0.26530612,0.63265306,1,1,1,1,0,1,0,60,5,,,,,,,,,,,,,,1,3.9795918,Female,,0,0,,,,0,0
585,147,1,0,0,Both Male & Female,,Male,21,53,4.0816326,0.12244898,0.34693879,0.77551019,1,1,1,1,1,1,1,63,5,,,,,,,,,,,,,,2,3.9183674,Female,,0.25,0,,,,0.25,0
546,137,2,0,0,Both Male & Female,,Female,24,24,3.3265307,0.020408163,0.1632653,0.42857143,0,1,1,1,0,0,0,52,5,,,,,,,,,,,,,,3,4.6734695,Female,,0.5,0,,,,0.5,0
4137,"1,035",1,1,0,Both Male & Female,,Male,15,47,3.3265307,0,0.18367347,0.44897959,0,1,1,1,0,0,0,65,5,,,,,,,,,,,,,,4,4.3265305,Female,,0.75,0,,,,0.75,0
501,126,1,1,0,Both Male & Female,,Male,28,60,2.6122448,0.020408163,0.10204082,0.26530612,0,0,0,0,0,0,0,65,5,,,,,,,,,,,,,,5,4.3265305,Female,,1,0,,,,1,0
182,46,2,1,0,Both Male & Female,,Male,27,59,4.0408163,0.081632651,0.36734694,0.71428573,1,1,1,1,0,1,0,64,5,,,,,,,,,,,,,,6,3.8367348,Female,,1.25,0,,,,1.25,0
398,100,2,1,0,Both Male & Female,,Male,19,51,3.5306122,0.020408163,0.24489796,0.46938777,1,1,1,1,0,0,0,67,5,,,,,,,,,,,,,,7,4.0408163,Female,,1.5,0,,,,1.5,0
70,18,2,1,0,Both Male & Female,,Female,3,3,4.6734695,0.30612245,0.55102038,0.79591835,1,1,1,1,1,1,1,45,5,,,1.75,0,,,,1.75,0,,,,,8,2.8163266,Female,,,,,,,,
135,34,3,1,0,Both Male & Female,,Female,19,19,2.367347,0.020408163,0.040816326,0.14285715,0,0,0,0,0,0,0,52,5,,,2,0,,,,2,0,,,,,9,4.6326532,Female,,,,,,,,
4269,"1,068",1,1,0,Both Male & Female,,Female,29,29,3.1632652,0,0.14285715,0.34693879,0,0,1,1,0,0,0,47,5,,,2.25,0.1639,38,2.27,,2.25,0.2765,"15, 19, 26","2.47, 2.37, 2.43",,,10,3.0816326,Female,,,,,,,,
84,21,4,1,0,Both Male & Female,,Male,22,54,2.6938775,0,0.06122449,0.20408164,0,0,0,1,0,0,0,57,5,,,2.5,0.2009,"37, 43, 54, 58, 60","2.63, 2.73, 2.69, 2.57, 2.61",,2.5,0.2341,"22, 30","2.67, 2.69",,,11,3.1836734,Female,,,,,,,,
196,49,4,1,0,Both Male & Female,,Female,19,19,2.367347,0.020408163,0.040816326,0.14285715,0,0,0,0,0,0,0,51,5,,,2.75,0.2096,"39, 44, 48, 57, 61, 63","2.85, 2.82, 2.9, 2.69, 2.9, 2.76",,2.75,0.2613,"8, 25, 28, 31, 32","2.82, 2.82, 2.94, 2.82",,,12,3.6122448,Female,,,,,,,,
6611,"1,653",3,0,0,Both Male & Female,,Female,11,11,3.1836734,0.06122449,0.1632653,0.34693879,0,0,1,1,0,0,0,50,5,3,,3,0.216,"36, 49, 55, 62, 64","3.14, 3.18, 3.22, 3.18, 3.24",,3,0.2246,"10, 11, 21, 23, 27, 29","3.08, 3.18, 3.1, 3.24, 3.1, 3.16",,,13,4.0408163,Female,,,,,,,,
33,9,1,0,0,Both Male & Female,,Male,9,41,3.3469388,0.020408163,0.1632653,0.40816328,0,1,1,1,0,0,0,60,5,,,3.25,0.2301,"41, 45, 47, 50, 56","3.35, 3.33, 3.33, 3.41, 3.47",,3.25,0.316,"16, 17, 24","3.33, 3.47, 3.33",,,14,3.8163266,Female,,,,,,,,
419,105,3,1,0,Both Male & Female,,Male,6,38,2.2653062,0,0.040816326,0.14285715,0,0,0,0,0,0,0,62,5,,,3.5,0.2286,"33, 40, 42, 46, 51","3.47, 3.73, 3.65, 3.51, 3.53",,3.5,0.2994,"12, 20","3.61, 3.73",,,15,2.4693878,Female,,,,,,,,
6139,"1,535",3,0,0,Both Male & Female,,Male,3,35,4.1836734,0.14285715,0.34693879,0.73469388,1,1,1,1,1,1,0,59,5,,,3.75,0,,,,3.75,0.2892,"1, 2, 6, 14","3.98, 3.92, 3.84, 3.82",,,16,3.3265307,Female,,,,,,,,
29,8,1,1,0,Both Male & Female,,Male,25,57,2.6938775,0,0.081632651,0.18367347,0,0,0,1,0,0,0,61,5,,,4,0.2224,"35, 52, 53, 59","4.18, 4.18, 4.08, 4.04",,4,0.2707,"7, 13, 17","4.04, 4.04, 4.08",,,17,3.4693878,Female,,,,,,,,
162,41,2,0,0,Both Male & Female,,Female,11,11,3.1836734,0.06122449,0.1632653,0.34693879,0,0,1,1,0,0,0,50,5,,,4.25,0,,,,4.25,0.274,"4, 5","4.33, 4.33",,,18,4.0816326,Female,,,,,,,,
5111,"1,278",3,0,0,Both Male & Female,,Male,17,49,3.1836734,0.020408163,0.1632653,0.42857143,0,0,1,1,0,0,0,63,5,,,4.5,0,,,,4.5,0.269,"3, 9","4.67, 4.63",,,19,2.367347,Female,,,,,,,,
85,22,1,1,0,Both Male & Female,,Male,31,63,2.7551022,0,0.020408163,0.26530612,0,0,1,1,0,0,0,67,5,,,4.75,0.2307,34,4.96,,4.75,0,,,,,20,3.7346938,Female,,,,,,,,
526,132,2,0,0,Both Male & Female,,Female,12,12,3.6122448,0.06122449,0.32653061,0.51020408,0,1,1,1,0,1,0,45,5,,,5,0,,,,5,0,,,,,21,3.1020408,Female,,,,,,,,
116,29,4,1,0,Both Male & Female,,Male,21,53,4.0816326,0.12244898,0.34693879,0.77551019,1,1,1,1,1,1,1,67,5,,,5.25,0,,,,5.25,0,,,,,22,2.6734693,Female,,,,,,,,
6107,"1,527",3,0,0,Both Male & Female,,Male,19,51,3.5306122,0.020408163,0.24489796,0.46938777,1,1,1,1,0,0,0,65,5,,,,,,,,,,,,,,23,3.2448978,Female,,5.5,0,,,,5.5,0
